Gene,CellType,ImmuneFunction,Description,Rho,P,N,FDR,Significant
FCGR3B,Neutrophil,Context-dependent,CD16b,-0.14133741302071057,0.02063433892744658,268,0.0392052439621485,TRUE
APOE,Macrophage,Immunosuppressive,Lipid-loaded TAMs,0.14013758965625944,0.021746706516621066,268,0.0399858797241097,TRUE
CSF3R,Neutrophil,Context-dependent,G-CSF receptor,-0.1370547584389284,0.024845651279570075,268,0.04425631634173419,TRUE
CD19,B-cell,Adaptive-immune,B cell,-0.1337118978181629,0.02862859757434045,268,0.049449395810224415,TRUE
CTLA4,Exhausted-T,Dysfunctional,CTLA-4,-0.12575880915464463,0.03965622657133992,268,0.06648249748724634,FALSE
CD8A,CD8-T,Anti-tumor,CD8+ T cell,0.12384787329783363,0.04278469220344324,268,0.06967792730275042,FALSE
CD3E,Pan-T,Anti-tumor,TCR component,0.11371569082340177,0.0630358071160375,268,0.0998066946003927,FALSE
GZMA,Cytotoxic,Anti-tumor,Granzyme A,-0.11023694943679424,0.07159006530276876,268,0.11028739789885998,FALSE
NCR1,NK-cell,Anti-tumor,NKp46,-0.10690261233088971,0.08065464435044568,268,0.12098196652566853,FALSE
NCAM1,NK-cell,Anti-tumor,CD56,0.10604253621321859,0.08313734385639875,268,0.12150842563627508,FALSE
CD8B,CD8-T,Anti-tumor,CD8+ T cell,-0.09824211301168483,0.10856882465282253,268,0.15471057513027212,FALSE
P2RY12,Microglia,Pan-Myeloid,Microglia-specific,-0.09346869944429025,0.12692532176949683,268,0.17645715465515413,FALSE
TNF,Cytokine,Pro-inflammatory,TNF-alpha,-0.0917240905293259,0.1342038597254788,268,0.18213380962743553,FALSE
KLRK1,NK-cell,Anti-tumor,NKG2D,0.08819502565655517,0.1499032471950949,268,0.19870895558419555,FALSE
TMEM119,Microglia,Pan-Myeloid,Microglia-specific,-0.08103762674993596,0.18596231395047974,268,0.2409057248903942,FALSE
CD1C,DC,Anti-tumor,cDC2,-0.07584009676684435,0.21588829713037003,268,0.2734585096984687,FALSE
IL4,Cytokine,Immunosuppressive,IL-4,-0.0705618128292927,0.24965707764608566,268,0.3093576831701496,FALSE
BATF3,DC,Anti-tumor,cDC1 TF,0.06849528356366953,0.2638286221397213,268,0.31996237153115137,FALSE
CD4,CD4-T,Anti-tumor,CD4+ T helper,-0.06273579068413876,0.30619586222567685,268,0.3636075863929913,FALSE
VEGFA,TAM,Immunosuppressive,VEGF-A,-0.05301783927512389,0.3873183990041691,268,0.43788861042173666,FALSE
IDO1,MDSC,Immunosuppressive,IDO1,-0.054175967392388544,0.37701899781142434,268,0.43788861042173666,FALSE
CLEC9A,DC,Anti-tumor,cDC1,-0.05167438491801281,0.3994773288057948,268,0.43788861042173666,FALSE
HLA-A,MHC-I,Anti-tumor,MHC class I,0.05249166949809104,0.3920535242278844,268,0.43788861042173666,FALSE
B2M,MHC-I,Anti-tumor,Beta-2-microglobulin,-0.047026735534264084,0.44326785550191183,268,0.476722033275641,FALSE
GZMB,Cytotoxic,Anti-tumor,Granzyme B,-0.03906855161618475,0.5242333629390055,268,0.5533574386578392,FALSE
TAP1,Antigen-Process,Anti-tumor,Peptide transporter,-0.03750705248297072,0.5409599355650994,268,0.5606312059492848,FALSE
CXCL10,M1-Macrophage,Anti-tumor,IP-10,0.019439604250519302,0.7514086801604898,268,0.7648266923062128,FALSE
CCL5,Chemokine,Anti-tumor,RANTES,0.010586361355207116,0.8630437011128784,268,0.8630437011128784,FALSE
